,subscribers,youtuber,uploads,country,channel_type,highest_yearly_earnings,video_views,estimate_money,money_per_1000_views
222,19300000,Manoj  parihar,335.0,India,Howto,1800000.0,264228052.0,6970000.0,26.378728326695605
223,18500000,Willie Salim,679.0,Indonesia,People,9500000.0,4051072188.0,97706400.0,24.118651918725078
224,18300000,IShowSpeed,1324.0,United States,Games,6700000.0,1556003039.0,57849000.0,37.17794795386643
225,17300000,Apple,180.0,United States,Tech,2200000.0,1026425106.0,42703500.0,41.60410706088087
226,16600000,Jordan Matter,413.0,United States,Entertainment,9600000.0,5819508534.0,178365700.0,30.649615677666432
227,16500000,FailArmy,438.0,United States,Entertainment,5400000.0,3037260680.0,73723800.0,24.273122318891637
228,16100000,Daily Dose Of Internet,671.0,United States,Entertainment,19200000.0,6872702790.0,189000000.0,27.500097963642627
229,15400000,Mrwhosetheboss,1577.0,United Kingdom,Tech,8000000.0,3736069980.0,107541900.0,28.784765964153596
230,15200000,Pok���������,194.0,India,Film,3100000.0,857725714.0,25746000.0,30.016588729669355
231,15000000,MoreAliA,2324.0,United Kingdom,Games,12000000.0,4352427049.0,138720400.0,31.87196440934535
232,13900000,Alexa Rivera,288.0,Argentina,Entertainment,6900000.0,3193226072.0,100101100.0,31.347952742132062
233,13800000,Hacksmith Industries,887.0,Canada,Tech,4000000.0,1820559912.0,72718800.0,39.94309636320279
234,13500000,Sanjoy Das Official,1793.0,India,Games,8600000.0,3912334359.0,82668300.0,21.130172529816743
235,13400000,Vibhu 96,256.0,India,Education,972700.0,20563378.0,3116000.0,151.53152366308686
236,13400000,Peet Montzingo,319.0,United States,People,19100000.0,10022557589.0,205582200.0,20.511949986262135
237,13200000,Vilmei,1324.0,Indonesia,People,12700000.0,4205664894.0,157152800.0,37.366933400757055
238,13100000,Ian Boggs,1327.0,Saudi Arabia,Entertainment,15800000.0,9110348202.0,221621400.0,24.326336939717336
239,13000000,Susy Mouriz,1299.0,Mexico,Entertainment,17700000.0,6270909026.0,137974200.0,22.00226465221248
240,12700000,Go Ami Go!,252.0,Colombia,People,15700000.0,1714955279.0,159571100.0,93.04679950199447
241,12400000,DEV Ke Facts,218.0,India,Education,13100000.0,1971226335.0,169182400.0,85.82596376483576
